Anaheim Ducks,27,13,48.15%,,Atlantic,Metropolitan,Central,Pacific
Buffalo Sabres,276,128,46.38%,,43.28%,50.21%,48.46%,59.78%
Carolina Hurricanes,190,101,53.16%,,0.521452145,,,
Columbus Blue Jackets,18,11,61.11%,,,,,
Calgary Flames,99,56,56.57%,,,,,
Chicago Blackhawks,581,262,45.09%,,,,,
Colorado Avalanche,138,70,50.72%,,,,,
Dallas Stars,130,76,58.46%,,,,,
Detroit Red Wings,586,238,40.61%,,,,,
Edmonton Oilers,68,45,66.18%,,,,,
Florida Panthers,80,42,52.50%,,,,,
Los Angeles Kings,135,82,60.74%,,,,,
Minnesota Wild,16,4,25.00%,,,,,
Montreal Canadiens,728,271,37.23%,,,,,
New Jersey Devils,145,77,53.10%,,,,,
Nashville Predators,21,12,57.14%,,,,,
New York Islanders,156,79,50.64%,,,,,
New York Rangers,635,289,45.51%,,,,,
Ottawa Senators,168,93,55.36%,,,,,
Philadelphia Flyers,185,99,53.51%,,,,,
Arizona Coyotes,70,42,60.00%,,,,,
Pittsburgh Penguins,194,106,54.64%,,,,,
San Jose Sharks,32,17,53.13%,,,,,
St. Louis Blues,128,62,48.44%,,,,,
Tampa Bay Lightning,82,53,64.63%,,,,,
Toronto Maple Leafs,656,290,44.21%,,,,,
Vancouver Canucks,111,69,62.16%,,,,,
Winnipeg Jets,55,32,58.18%,,,,,
Washington Capitals,146,76,52.05%,,,,,
